d1 number of elements:  1000
	First Element: 0.0465479015435666
	Sorted
	First Sorted Distance: 0.0436262405906764
Cluster Count: 102	Start Value: 0.04141562	End Value: 0.04241562
Cluster Count: 157	Start Value: 0.04241562	End Value: 0.04341562
Cluster Count: 272	Start Value: 0.04341562	End Value: 0.04441562
Cluster Count: 363	Start Value: 0.04441562	End Value: 0.04541562
Cluster Count: 58	Start Value: 0.04541562	End Value: 0.04641562
Cluster Count: 38	Start Value: 0.04641562	End Value: 0.04741562
Cluster Count: 3	Start Value: 0.04741562	End Value: 0.04841562
d20 number of elements:  1000
	First Element: 0.0509635507726242
	Sorted
	First Sorted Distance: 0.0495912056573977
	Clustering Elements
Cluster Count: 7	Start Value: 0.04959121	End Value: 0.0505912
Cluster Count: 51	Start Value: 0.0505912	End Value: 0.05159121
Cluster Count: 213	Start Value: 0.05159121	End Value: 0.0525912
Cluster Count: 263	Start Value: 0.0525912	End Value: 0.05359121
Cluster Count: 295	Start Value: 0.05359121	End Value: 0.0545912
Cluster Count: 147	Start Value: 0.0545912	End Value: 0.05559121
Cluster Count: 22	Start Value: 0.05559121	End Value: 0.05659121
Cluster Count: 2	Start Value: 0.05659121	End Value: 0.05759121
d21 number of elements:  1000
	First Element: 0.0236265667959302
	Sorted
	First Sorted Distance: 0.0172192111699596
	Clustering Elements
Cluster Count: 5	Start Value: 0.01721921	End Value: 0.01821921
Cluster Count: 9	Start Value: 0.01821921	End Value: 0.01921921
Cluster Count: 33	Start Value: 0.01921921	End Value: 0.02021921
Cluster Count: 122	Start Value: 0.02021921	End Value: 0.02121921
Cluster Count: 210	Start Value: 0.02121921	End Value: 0.02221921
Cluster Count: 236	Start Value: 0.02221921	End Value: 0.02321921
Cluster Count: 198	Start Value: 0.02321921	End Value: 0.02421921
Cluster Count: 114	Start Value: 0.02421921	End Value: 0.02521921
Cluster Count: 64	Start Value: 0.02521921	End Value: 0.02621921
Cluster Count: 6	Start Value: 0.02621921	End Value: 0.02721921
Cluster Count: 3	Start Value: 0.02721921	End Value: 0.02821921
d22 number of elements:  1000
	First Element: 0.00561428363684256
	Sorted
	First Sorted Distance: 0.00330088519071614
	Clustering Elements
Cluster Count: 9	Start Value: 0.003300885	End Value: 0.004300885
Cluster Count: 54	Start Value: 0.004300885	End Value: 0.005300885
Cluster Count: 160	Start Value: 0.005300885	End Value: 0.006300885
Cluster Count: 200	Start Value: 0.006300885	End Value: 0.007300885
Cluster Count: 258	Start Value: 0.007300885	End Value: 0.008300886
Cluster Count: 174	Start Value: 0.008300886	End Value: 0.009300886
Cluster Count: 82	Start Value: 0.009300886	End Value: 0.01030089
Cluster Count: 35	Start Value: 0.01030089	End Value: 0.01130089
Cluster Count: 21	Start Value: 0.01130089	End Value: 0.01230089
Cluster Count: 6	Start Value: 0.01230089	End Value: 0.01330089
Cluster Count: 1	Start Value: 0.01330089	End Value: 0.01430089
d23 number of elements:  1000
	First Element: 0.025960406917619
	Sorted
